id,name,city,category,rating,cost,duration_hours,latitude,longitude
85,Thakurdwara Temple,Bardiya,Religious,4.5,0,2,28.3900,81.3300
86,Khaptad National Park,Khaptad,Nature,4.9,500,6,29.3500,81.1000
87,Khaptad Baba Ashram,Khaptad,Religious,4.7,0,2,29.3450,81.0950
88,Everest Base Camp,Solukhumbu,Adventure,5.0,5000,48,28.0026,86.8528
89,Namche Bazaar,Solukhumbu,Culture,4.9,0,5,27.8069,86.7147
90,Tengboche Monastery,Solukhumbu,Religious,4.8,0,3,27.8360,86.7620
91,Gokyo Lake,Solukhumbu,Nature,4.9,0,8,27.9570,86.6900
92,Tilicho Lake,Manang,Adventure,4.9,1000,8,28.7000,84.3900
93,Manang Village,Manang,Culture,4.8,0,3,28.6667,84.0167
94,Ice Lake,Manang,Hiking,4.8,0,7,28.6800,84.0300
95,Gosainkunda Lake,Rasuwa,Nature,4.9,500,7,28.0833,85.4167
96,Langtang Valley,Rasuwa,Adventure,4.9,500,24,28.2000,85.5500
97,Pathibhara Temple,Taplejung,Religious,4.9,200,4,27.4280,87.7340
98,Tansen Durbar,Tansen,Culture,4.7,100,2,27.8670,83.5460
99,Rani Mahal,Tansen,Culture,4.8,200,3,27.8500,83.5400
100,Srinagar Hill,Tansen,Nature,4.7,0,3,27.8800,83.5600
