id,name,city,cuisine,rating,average_cost,latitude,longitude
64,Nagarkot Family Restaurant,Nagarkot,Nepali,4.5,900,27.7145,85.5205
65,Everest View Cafe,Nagarkot,Cafe,4.7,750,27.7165,85.5215
66,Dhulikhel Lodge Restaurant,Dhulikhel,Nepali,4.8,1000,27.622,85.542
67,Himalayan Horizon Restaurant,Dhulikhel,Continental,4.7,1300,27.6215,85.5415
68,Namo Buddha Cafe,Dhulikhel,Cafe,4.6,700,27.5805,85.5905
69,Mountain View Restaurant,Dhulikhel,Nepali,4.5,850,27.623,85.543
70,Peace Garden Cafe,Dhulikhel,Cafe,4.7,650,27.6225,85.5425
71,Gorkha Kitchen,Gorkha,Nepali,4.8,900,28.0,84.633
72,Manakamana Restaurant,Gorkha,Nepali,4.7,950,27.95,84.87
73,Gorkha Palace Cafe,Gorkha,Cafe,4.5,700,28.001,84.634
74,Liglig Family Restaurant,Gorkha,Nepali,4.6,800,27.985,84.61
75,Heritage Dining,Gorkha,Newari,4.7,1000,28.0005,84.6335
76,Rara Lake Restaurant,Mugu,Nepali,4.8,1000,29.5319,82.0845
77,Murma View Cafe,Mugu,Cafe,4.7,700,29.54,82.09
78,Karnali Kitchen,Mugu,Nepali,4.6,850,29.275,82.183
79,Rara Eco Restaurant,Mugu,Continental,4.5,1200,29.5325,82.085
80,Himalayan Dining,Mugu,Tibetan,4.7,950,29.531,82.084
81,Bardia Jungle Restaurant,Bardiya,Nepali,4.8,1200,28.45,81.45
82,Wildlife Cafe,Bardiya,Cafe,4.6,700,28.4485,81.4485
83,Karnali Riverside Restaurant,Bardiya,Nepali,4.7,950,28.4,81.35
84,Thakurdwara Kitchen,Bardiya,Tharu,4.8,900,28.39,81.33
85,Safari Dining,Bardiya,Bbq,4.5,1400,28.451,81.451
86,Khaptad Eco Restaurant,Khaptad,Nepali,4.7,900,29.35,81.1
87,Khaptad View Cafe,Khaptad,Cafe,4.6,650,29.349,81.099
88,Baba Ashram Kitchen,Khaptad,Nepali,4.5,700,29.345,81.095
89,Hilltop Restaurant,Khaptad,Continental,4.6,1100,29.351,81.101
90,Nature Dining,Khaptad,Nepali,4.7,850,29.3505,81.1005
91,Namche Bakery,Solukhumbu,Cafe,4.8,900,27.8069,86.7147
92,Everest Steak House,Solukhumbu,Continental,4.9,1800,27.8075,86.7155
93,Tengboche Tea House,Solukhumbu,Tibetan,4.7,850,27.836,86.762
94,Gokyo Lake Restaurant,Solukhumbu,Nepali,4.8,1000,27.957,86.69
95,Sherpa Family Kitchen,Solukhumbu,Sherpa,4.9,1200,27.808,86.716
96,Tilicho Restaurant,Manang,Nepali,4.8,950,28.6667,84.0167
97,Langtang Cafe,Rasuwa,Cafe,4.7,700,28.2,85.55
98,Gosainkunda Kitchen,Rasuwa,Nepali,4.8,900,28.0833,85.4167
99,Pathibhara Bhojanalaya,Taplejung,Nepali,4.6,800,27.428,87.734
100,Srinagar Hill Restaurant,Tansen,Nepali,4.8,900,27.867,83.546
