

id,name,city,cuisine,rating,average_cost,latitude,longitude
63,Himalayan Dining,Nagarkot,Continental,4.6,1300,27.7155,85.5195
64,Nagarkot Family Restaurant,Nagarkot,Nepali,4.5,900,27.7145,85.5205
65,Everest View Cafe,Nagarkot,Cafe,4.7,750,27.7165,85.5215
66,Dhulikhel Lodge Restaurant,Dhulikhel,Nepali,4.8,1000,27.6220,85.5420
67,Himalayan Horizon Restaurant,Dhulikhel,Continental,4.7,1300,27.6215,85.5415
68,Namo Buddha Cafe,Dhulikhel,Cafe,4.6,700,27.5805,85.5905
69,Mountain View Restaurant,Dhulikhel,Nepali,4.5,850,27.6230,85.5430
70,Peace Garden Cafe,Dhulikhel,Cafe,4.7,650,27.6225,85.5425
71,Gorkha Kitchen,Gorkha,Nepali,4.8,900,28.0000,84.6330
72,Manakamana Restaurant,Gorkha,Nepali,4.7,950,27.9500,84.8700
73,Gorkha Palace Cafe,Gorkha,Cafe,4.5,700,28.0010,84.6340
74,Liglig Family Restaurant,Gorkha,Nepali,4.6,800,27.9850,84.6100
75,Heritage Dining,Gorkha,Newari,4.7,1000,28.0005,84.6335
76,Rara Lake Restaurant,Mugu,Nepali,4.8,1000,29.5319,82.0845
77,Murma View Cafe,Mugu,Cafe,4.7,700,29.5400,82.0900
78,Karnali Kitchen,Mugu,Nepali,4.6,850,29.2750,82.1830
79,Rara Eco Restaurant,Mugu,Continental,4.5,1200,29.5325,82.0850
80,Himalayan Dining,Mugu,Tibetan,4.7,950,29.5310,82.0840
81,Bardia Jungle Restaurant,Bardiya,Nepali,4.8,1200,28.4500,81.4500
82,Wildlife Cafe,Bardiya,Cafe,4.6,700,28.4485,81.4485
83,Karnali Riverside Restaurant,Bardiya,Nepali,4.7,950,28.4000,81.3500
84,Thakurdwara Kitchen,Bardiya,Tharu,4.8,900,28.3900,81.3300
85,Safari Dining,Bardiya,BBQ,4.5,1400,28.4510,81.4510
86,Khaptad Eco Restaurant,Khaptad,Nepali,4.7,900,29.3500,81.1000
87,Khaptad View Cafe,Khaptad,Cafe,4.6,650,29.3490,81.0990
88,Baba Ashram Kitchen,Khaptad,Nepali,4.5,700,29.3450,81.0950
89,Hilltop Restaurant,Khaptad,Continental,4.6,1100,29.3510,81.1010
90,Nature Dining,Khaptad,Nepali,4.7,850,29.3505,81.1005
91,Namche Bakery,Solukhumbu,Cafe,4.8,900,27.8069,86.7147
92,Everest Steak House,Solukhumbu,Continental,4.9,1800,27.8075,86.7155
93,Tengboche Tea House,Solukhumbu,Tibetan,4.7,850,27.8360,86.7620
94,Gokyo Lake Restaurant,Solukhumbu,Nepali,4.8,1000,27.9570,86.6900
95,Sherpa Family Kitchen,Solukhumbu,Sherpa,4.9,1200,27.8080,86.7160
96,Tilicho Restaurant,Manang,Nepali,4.8,950,28.6667,84.0167
97,Langtang Cafe,Rasuwa,Cafe,4.7,700,28.2000,85.5500
98,Gosainkunda Kitchen,Rasuwa,Nepali,4.8,900,28.0833,85.4167
99,Pathibhara Bhojanalaya,Taplejung,Nepali,4.6,800,27.4280,87.7340
100,Srinagar Hill Restaurant,Tansen,Nepali,4.8,900,27.8670,83.5460


