id,name,city,category,rating,cost,duration_hours,latitude,longitude
44,55 Window Palace,Bhaktapur,Culture,4.7,500,2.0,27.6725,85.428
45,Pottery Square,Bhaktapur,Culture,4.6,0,2.0,27.669,85.43
46,Dattatreya Temple,Bhaktapur,Religious,4.6,0,2.0,27.6735,85.4335
47,Patan Durbar Square,Lalitpur,Culture,4.9,1000,3.0,27.6738,85.325
48,Golden Temple,Lalitpur,Religious,4.8,0,2.0,27.6747,85.3255
49,Patan Museum,Lalitpur,Museum,4.7,250,2.0,27.673,85.3258
50,Godavari Botanical Garden,Lalitpur,Nature,4.7,200,4.0,27.592,85.395
51,Muktinath Temple,Mustang,Religious,4.9,500,3.0,28.8175,83.8715
52,Jomsom,Mustang,Adventure,4.7,0,3.0,28.782,83.722
53,Kagbeni,Mustang,Culture,4.7,0,2.0,28.839,83.782
54,Marpha Village,Mustang,Culture,4.8,0,3.0,28.751,83.69
55,Lo Manthang,Mustang,Adventure,4.9,1000,5.0,29.19,83.96
56,Dhumba Lake,Mustang,Nature,4.6,0,2.0,28.779,83.73
57,Kanyam Tea Garden,Ilam,Nature,4.8,0,3.0,26.91,87.93
58,Antu Danda,Ilam,Hiking,4.7,0,4.0,26.88,87.95
59,Mai Pokhari,Ilam,Nature,4.7,200,2.0,26.97,87.93
60,Sandakpur Viewpoint,Ilam,Adventure,4.8,500,6.0,27.1,88.0
61,Ilam Bazaar,Ilam,Culture,4.5,0,2.0,26.9105,87.9285
62,Bandipur Bazaar,Bandipur,Culture,4.8,0,3.0,27.938,84.407
63,Siddha Cave,Bandipur,Adventure,4.7,300,3.0,27.95,84.42
64,Thani Mai Temple,Bandipur,Religious,4.6,0,2.0,27.94,84.4
65,Tundikhel Viewpoint,Bandipur,Nature,4.5,0,2.0,27.939,84.41
66,Janaki Temple,Janakpur,Religious,4.9,100,2.0,26.7288,85.925
67,Ram Mandir,Janakpur,Religious,4.7,0,1.5,26.73,85.923
68,Dhanushadham,Janakpur,Culture,4.6,100,3.0,26.8,85.95
69,Ganga Sagar Pond,Janakpur,Nature,4.5,0,1.0,26.7295,85.9265
70,Nagarkot View Tower,Nagarkot,Hiking,4.8,0,3.0,27.715,85.52
71,Nagarkot Sunrise Point,Nagarkot,Nature,4.9,0,2.0,27.72,85.515
72,Nagarkot Nature Trail,Nagarkot,Hiking,4.6,0,4.0,27.718,85.518
73,Dhulikhel View Point,Dhulikhel,Nature,4.8,0,2.0,27.622,85.542
74,Namo Buddha,Dhulikhel,Religious,4.9,0,3.0,27.58,85.59
75,Kali Temple,Dhulikhel,Religious,4.5,0,1.5,27.626,85.54
76,Gorkha Durbar,Gorkha,Culture,4.8,300,3.0,28.0,84.633
77,Manakamana Temple,Gorkha,Religious,4.9,700,4.0,27.95,84.87
78,Gorkha Museum,Gorkha,Museum,4.5,100,2.0,28.0015,84.6335
79,Ligligkot,Gorkha,Hiking,4.6,0,5.0,27.985,84.61
80,Rara Lake,Mugu,Nature,5.0,0,5.0,29.5319,82.0845
81,Rara National Park,Mugu,Adventure,4.8,500,6.0,29.5,82.1
82,Murma View Point,Mugu,Hiking,4.7,0,4.0,29.54,82.09
83,Bardia National Park,Bardiya,Adventure,4.9,2000,6.0,28.45,81.45
84,Karnali River,Bardiya,Nature,4.7,500,3.0,28.4,81.35
85,Thakurdwara Temple,Bardiya,Religious,4.5,0,2.0,28.39,81.33
86,Khaptad National Park,Khaptad,Nature,4.9,500,6.0,29.35,81.1
87,Khaptad Baba Ashram,Khaptad,Religious,4.7,0,2.0,29.345,81.095
88,Everest Base Camp,Solukhumbu,Adventure,5.0,5000,48.0,28.0026,86.8528
89,Namche Bazaar,Solukhumbu,Culture,4.9,0,5.0,27.8069,86.7147
90,Tengboche Monastery,Solukhumbu,Religious,4.8,0,3.0,27.836,86.762
91,Gokyo Lake,Solukhumbu,Nature,4.9,0,8.0,27.957,86.69
92,Tilicho Lake,Manang,Adventure,4.9,1000,8.0,28.7,84.39
93,Manang Village,Manang,Culture,4.8,0,3.0,28.6667,84.0167
94,Ice Lake,Manang,Hiking,4.8,0,7.0,28.68,84.03
95,Gosainkunda Lake,Rasuwa,Nature,4.9,500,7.0,28.0833,85.4167
96,Langtang Valley,Rasuwa,Adventure,4.9,500,24.0,28.2,85.55
97,Pathibhara Temple,Taplejung,Religious,4.9,200,4.0,27.428,87.734
98,Tansen Durbar,Tansen,Culture,4.7,100,2.0,27.867,83.546
99,Rani Mahal,Tansen,Culture,4.8,200,3.0,27.85,83.54
100,Srinagar Hill,Tansen,Nature,4.7,0,3.0,27.88,83.56
